slice_id,kind,feature,state,side,folds,walk_forward_pass_pattern,walk_forward_pass_count,fold_mean_rets,fold_sizes,n,mean_ret_costadj,p_value,validated,horizon_bars,stop_atr_mult,hostile_n,hostile_mean_ret,regime_confounded,hostile_unproven,session_asia_n,session_asia_mean_ret_costadj,session_asia_hit_rate,session_eu_n,session_eu_mean_ret_costadj,session_eu_hit_rate,session_us_n,session_us_mean_ret_costadj,session_us_hit_rate
feat_trend_strength_20:0:SHORT:h6,SPOT,feat_trend_strength_20,0,SHORT,5,00000,0,"-0.001676,-0.001675,-0.000526,-0.002156,-0.001755","1172,1281,1214,1328,1593",6594,-0.001570693614548531,4.440892098500626e-16,False,6,3.5,1792,-0.00030168147085485,True,False,2287,-0.0013458016645677515,0.37385220813292525,2179,-0.0020737525590661036,0.3244607618173474,2128,-0.0012972737129988369,0.3392857142857143
feat_ext_vs_ma_50:1:LONG:h6,SPOT,feat_ext_vs_ma_50,1,LONG,5,00000,0,"-0.000845,-0.001840,-0.002504,-0.000974,-0.002008","3560,3611,3255,3981,4098",18517,-0.0016174517375139865,2.708500090875532e-12,False,6,3.5,5056,-0.0006558443729617724,True,False,6277,-0.0018077463730259327,0.3386968296957145,6297,-0.000838715625821772,0.38986819120215976,5943,-0.0022415846448364486,0.31280498064950363
feat_ret_5:1:LONG:h6,SPOT,feat_ret_5,1,LONG,5,00000,0,"-0.000773,-0.002206,-0.002242,-0.000912,-0.002139","3780,3688,3401,3730,3706",18323,-0.0016414920853722883,0.0,False,6,3.5,5138,-0.0007013202077814459,True,False,6314,-0.0017347506483075307,0.34653151726322456,6062,-0.0009084834495809562,0.39673375123721544,5947,-0.0022896615462422967,0.30637296115688584
feat_trend_strength_20:1:LONG:h6,SPOT,feat_trend_strength_20,1,LONG,5,00000,0,"-0.000979,-0.001708,-0.002512,-0.000990,-0.002047","3298,3408,3394,3532,3349",16997,-0.001653357022908239,0.0,False,6,3.5,4753,-0.0005250964454144558,True,False,5755,-0.00181053480440152,0.3643788010425717,5637,-0.0009844454521269206,0.38832712435692746,5605,-0.002164703390794137,0.3295272078501338
feat_vol_regime:1:LONG:h6,SPOT,feat_vol_regime,1,LONG,5,00000,0,"-0.001699,-0.002603,-0.001281,-0.000954,-0.001822","3519,3502,3402,3857,3477",17773,-0.0016581279062342059,2.220446049250313e-16,False,6,3.5,4899,-0.00040714179012656137,True,False,5962,-0.0016814872543047912,0.35608856088560886,5804,-0.0015013195519536719,0.370434183321847,6007,-0.001786452736440197,0.3286166139503912
feat_ret_3:1:LONG:h6,SPOT,feat_ret_3,1,LONG,5,00000,0,"-0.000875,-0.002217,-0.002220,-0.001133,-0.002038","3564,3445,3228,3671,3571",17497,-0.00168174499299956,0.0,False,6,3.5,4913,-0.0007312901461146049,True,False,6106,-0.001799737794125839,0.34572551588601375,5601,-0.0009251485553474657,0.39528655597214785,5790,-0.0022892117639170587,0.3062176165803109
feat_ret_10:1:SHORT:h6,SPOT,feat_ret_10,1,SHORT,5,00000,0,"-0.001685,-0.001222,-0.001062,-0.002742,-0.001676","3732,3773,3549,3827,4015",18917,-0.0016908254100423568,0.0,False,6,3.5,5105,-0.0011302887632094842,True,False,6630,-0.001677101329383334,0.33680241327300153,6366,-0.0022735212125121794,0.3411875589066918,5921,-0.0010797038387277867,0.36480324269549064
feat_ret_20:1:LONG:h6,SPOT,feat_ret_20,1,LONG,5,00000,0,"-0.000818,-0.002124,-0.002615,-0.000897,-0.002086","3414,3637,3347,3985,4075",18472,-0.0017003216038639533,0.0,False,6,3.5,5405,-0.0005502339142899918,True,False,6187,-0.0019293186849350858,0.3439469856149992,6202,-0.0010361671692862484,0.3864882296033538,6083,-0.0021445564982686596,0.3174420516192668
feat_ext_vs_ma_10:1:LONG:h6,SPOT,feat_ext_vs_ma_10,1,LONG,5,00000,0,"-0.000984,-0.002333,-0.002066,-0.000969,-0.002188","3759,3783,3525,3773,3758",18616,-0.0017020340377170947,0.0,False,6,3.5,5300,-0.0008228456222250971,True,False,6453,-0.0016808488919167726,0.3527041686037502,6079,-0.001050465857092113,0.38493173219279486,6084,-0.002375536785230037,0.3071992110453649
feat_ext_vs_ma_20:2:SHORT:h6,SPOT,feat_ext_vs_ma_20,2,SHORT,5,00000,0,"-0.001757,-0.002486,-0.000874,-0.002638,-0.000199","843,796,882,1127,616",4266,-0.0017158460860066612,2.5681140325417573e-08,False,6,3.5,2014,-0.0019202550563899357,True,False,1258,-0.001962596376172953,0.4189189189189189,1448,-0.0018538941832319865,0.4261049723756906,1560,-0.0013887271694608494,0.41217948717948716
