slice_id,kind,feature,state,side,n,mean_ret_costadj,median_ret_costadj,hit_rate,t_stat,p_value,bonferroni_pass,horizon_bars
feat_ret_10:1:SHORT,PERP,feat_ret_10,1,SHORT,174,-0.0020108084122977743,-0.0018285059404597546,0.3160919540229885,-3.259358291668064,0.0011166454912050483,True,1
feat_ext_vs_ma_50:0:SHORT,PERP,feat_ext_vs_ma_50,0,SHORT,116,-0.002112899500578071,-0.002203042584672252,0.1724137931034483,-4.568835202703338,4.904422076679182e-06,True,1
feat_atr_norm_ext:1:SHORT,PERP,feat_atr_norm_ext,1,SHORT,184,-0.0021437181768673864,-0.002242120916180654,0.2554347826086957,-3.913323516923561,9.103443982239057e-05,True,1
feat_ext_vs_ma_20:0:SHORT,PERP,feat_ext_vs_ma_20,0,SHORT,196,-0.0021595700196560545,-0.002240061009358649,0.22959183673469388,-5.956388810453008,2.578724123125653e-09,True,1
feat_trend_slope_20:0:SHORT,PERP,feat_trend_slope_20,0,SHORT,205,-0.00224093331386019,-0.002122881793964535,0.2097560975609756,-6.884050597384395,5.81756864903582e-12,True,1
feat_atr_norm_ext:0:SHORT,PERP,feat_atr_norm_ext,0,SHORT,193,-0.0022839930573851567,-0.002386950732356905,0.23316062176165803,-5.977314763491507,2.2684563116825984e-09,True,1
feat_ext_vs_ma_20:1:SHORT,PERP,feat_ext_vs_ma_20,1,SHORT,180,-0.002304668238783531,-0.002356365926455115,0.25,-4.048118882777094,5.163092155835436e-05,True,1
feat_trend_strength_20:1:SHORT,PERP,feat_trend_strength_20,1,SHORT,207,-0.002322319611675364,-0.0022540989277067356,0.2318840579710145,-5.522728753390155,3.3377481223340055e-08,True,1
feat_ret_3:1:SHORT,PERP,feat_ret_3,1,SHORT,177,-0.002385743237918645,-0.0026523608183996548,0.1864406779661017,-5.357129699368377,8.455442523924717e-08,True,1
feat_ret_10:0:SHORT,PERP,feat_ret_10,0,SHORT,214,-0.0023987305479189064,-0.00241915854939174,0.19626168224299065,-6.35203042799936,2.1249135784273676e-10,True,1
