slice_id,kind,feature,state,side,folds,walk_forward_pass_pattern,walk_forward_pass_count,fold_mean_rets,fold_sizes,n,mean_ret_costadj,p_value,validated,required_passes,latest_fold_passes,temporal_pass,direction_ok,breadth_ok,breadth_symbols_used,breadth_positive_fraction,recency_ok,mean_positive,side_train,fail_reasons,horizon_bars,stop_atr_mult,hostile_n,hostile_mean_ret,regime_confounded,hostile_unproven,session_asia_n,session_asia_mean_ret_costadj,session_asia_hit_rate,session_eu_n,session_eu_mean_ret_costadj,session_eu_hit_rate,session_us_n,session_us_mean_ret_costadj,session_us_hit_rate
hip3_hyna_index_c235:feat_realized_vol_20:1:LONG:h1,PERP,feat_realized_vol_20,1,LONG,5,00000,0,"-0.000517,-0.000740,-0.001016,-0.001054,-0.000241","46,43,71,63,17",242,-0.0008275787349613999,0.03061394596273681,False,2,False,False,True,False,1,0.0,False,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,1.5,80,-0.0008345441532819386,True,False,80,-0.000775050253482936,0.05,66,-0.0007765633512967507,0.06060606060606061,96,-0.0009064255457962326,0.07291666666666667
hip3_hyna_index_c235:feat_ret_5:0:LONG:h1,PERP,feat_ret_5,0,LONG,5,00001,1,"-0.000784,-0.001058,-0.001101,-0.001455,0.001047","62,63,131,142,71",470,-0.0008357569297258782,0.3486839621329043,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,1.670669386962032,156,-0.0010811386296485398,True,False,164,-0.0009554390560257425,0.06707317073170732,149,-0.0006107747990246321,0.08053691275167785,157,-0.000924256730753317,0.07006369426751592
hip3_hyna_index_c235:feat_ret_3:0:LONG:h1,PERP,feat_ret_3,0,LONG,5,00001,1,"-0.001409,-0.000432,-0.001100,-0.001397,0.000515","116,133,141,149,91",633,-0.0008537902272870693,0.23342211642179844,False,2,True,False,False,False,1,0.0,True,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,2.2242804154133746,192,-0.0008779143528360726,True,False,224,-0.0010190592567659148,0.06696428571428571,198,-0.0006574656429833515,0.07575757575757576,211,-0.0008625675025897924,0.061611374407582936
hip3_hyna_index_c235:feat_realized_vol_20:0:SHORT:h1,PERP,feat_realized_vol_20,0,SHORT,5,00010,1,"-0.000570,-0.001297,-0.000737,0.000258,-0.013671","33,80,72,61,4",250,-0.0008581812938369572,0.13766813782898968,False,2,False,False,True,False,1,0.0,False,False,SHORT,"temporal_pass,breadth_ok,mean_net<=0",1,1.5,15,-6.547126436782063e-05,False,True,88,-0.00015385536848039038,0.07954545454545454,95,-0.001533401620379876,0.042105263157894736,67,-0.0008258641357742796,0.05970149253731343
hip3_hyna_index_c235:feat_ret_20:1:SHORT:h1,PERP,feat_ret_20,1,SHORT,5,00010,1,"-0.000337,-0.001804,-0.000376,0.000473,-0.002372","33,60,42,38,23",198,-0.0008774566293636397,0.27553538278340284,False,2,False,False,False,False,1,0.0,False,False,LONG,"temporal_pass,direction_ok,breadth_ok,mean_net<=0",1,3.5,27,0.0011075151346298484,False,False,52,-2.7520015902388466e-05,0.11538461538461539,87,-0.0018959723631064905,0.04597701149425287,59,-0.00012467417282731967,0.1016949152542373
hip3_hyna_index_c235:feat_ret_10:1:SHORT:h1,PERP,feat_ret_10,1,SHORT,5,10000,1,"0.000649,-0.001280,-0.000787,-0.000027,-0.005907","27,64,68,84,19",262,-0.0008871655894041668,0.17346970013398444,False,2,False,False,True,False,1,0.0,False,False,SHORT,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,1.6264498869978412,20,-0.0024576159545214487,True,False,94,-0.00016178309586524264,0.09574468085106383,87,-0.00166392970106378,0.08045977011494253,81,-0.0008946653014816058,0.037037037037037035
hip3_hyna_index_c235:feat_ext_vs_ma_50:0:LONG:h1,PERP,feat_ext_vs_ma_50,0,LONG,5,00000,0,"-0.001379,0.002065,-0.000870,-0.001042,0.002168","73,1,71,85,14",246,-0.0008967947076971649,0.049087189620891536,False,2,False,False,False,False,1,0.0,False,False,SHORT,"temporal_pass,direction_ok,breadth_ok,regime_confounded,mean_net<=0",1,1.5,132,-0.0009873393924929338,True,False,83,-0.0006662670021169359,0.07228915662650602,83,-0.0012048120361817915,0.04819277108433735,80,-0.000816399223933853,0.05
hip3_hyna_index_c235:feat_ext_vs_ma_50:1:LONG:h1,PERP,feat_ext_vs_ma_50,1,LONG,5,00001,1,"-0.000793,-0.000760,-0.000915,-0.002187,0.000944","32,105,35,49,22",244,-0.0009306881003279756,0.2844488125449136,False,2,True,False,True,False,1,0.0,True,False,LONG,"temporal_pass,breadth_ok,regime_confounded,mean_net<=0",1,1.981914893617034,73,-0.0012301146796875881,True,False,85,-0.0009708269715657373,0.047058823529411764,89,-0.0005280792703646186,0.07865168539325842,70,-0.0013938364119212468,0.04285714285714286
hip3_hyna_index_c235:feat_ret_1:2:LONG:h2,PERP,feat_ret_1,2,LONG,5,00001,1,"-0.001443,-0.001838,-0.001008,-0.004306,0.005276","21,9,7,3,35",76,0.0015523242480778815,0.20336026874973956,False,2,True,False,False,False,1,1.0,True,True,SHORT,"temporal_pass,direction_ok,breadth_ok",2,3.5,9,-0.0003778786743876974,False,True,23,-8.727495226754836e-05,0.21739130434782608,27,0.003548978900581219,0.2962962962962963,26,0.0009292898630915261,0.23076923076923078
hip3_hyna_index_c235:feat_vol_regime:2:LONG:h2,PERP,feat_vol_regime,2,LONG,5,10011,3,"0.001714,-0.000225,-0.001460,0.000257,0.005949","32,34,50,46,59",225,0.001433005216896236,0.009665101861646708,False,2,True,True,True,False,1,1.0,True,True,LONG,breadth_ok,2,3.5,50,0.00031208643033068243,False,False,70,0.0005274114141435254,0.2,77,0.0018569761228779409,0.23376623376623376,78,0.0018271822224359597,0.15384615384615385
